artists,artist_popularity_api,artist_peak_popularity,artist_track_count
Bill Withers,76.0,79,5
Billboard Baby Lullabies,20.88,25,16
Billfold,30.0,30,1
Billie Eilish,33.91,89,70
Billie Holiday,32.83,67,12
Billie Marten,54.0,63,12
Billo's,27.17,41,23
Billx,43.43,50,7
Billy Bueffer,56.0,56,2
Billy Childish;Dan Melchior,26.0,26,1
Billy Connolly,21.0,21,1
Billy Currington,0.0,0,2
Billy Dean,27.0,28,2
Billy Eichner;Seth Rogen,59.0,60,2
Billy F Gibbons,0.0,0,1
Billy Fury,39.8,51,5
Billy Gardell,23.17,24,6
Billy Idol,44.71,74,7
Billy Joel,62.43,79,51
Billy Ocean,67.33,70,3
Billy Porter,32.25,43,4
Billy Preston,43.67,63,3
Billy Ray Cyrus,22.67,68,3
Billy Soul Bonds,34.0,34,1
Billy Squier,0.0,0,4
Billy Talent,1.0,1,1
BIN,45.0,46,3
Binaural Beats;White Noise Babies;Binaural Beats Sleep,32.0,32,1
Binaural Beats Brain Waves Isochronic Tones Brain Wave Entrainment,32.0,32,1
Binaural Beats Brainwave Entrainment;Loopable,36.0,38,2
Binaural Beats Sleep,33.5,34,2
Bingo Players;Far East Movement,63.5,69,2
Binho Simões,50.5,55,2
Binks Beatz;Kaza,36.0,38,2
Binod Majhi;Bijay Anand Sahu,38.0,38,1
Binum,22.5,28,4
Biohazard,0.0,0,1
Biosphere,44.0,44,1
Bioweapon,19.5,20,2
Bipul Chettri,45.86,47,7
Biquini Cavadão,40.69,52,52
Bira Santos,32.0,32,1
Birat Bitz,40.5,47,2
Birdflesh,13.0,13,2
Birileri,45.5,46,4
Birkan Nasuhoğlu,39.25,43,4
Birsen Tezer,39.4,43,5
BiS,21.35,27,20
Bisa Kdei,52.0,52,1
Biscits,56.0,62,16
BiSH,27.0,47,20
Bishop Briggs,18.0,75,22
Bishop Larry Trotter;Sweet Holy Spirit,42.0,42,1
Bissett,24.0,24,1
Bitkit;Spirit Architect,28.0,28,1
Bitstream,10.0,10,1
Bitter End,29.0,29,1
Bitter:Sweet,20.0,21,3
Biu do Piseiro,41.92,51,12
Bixiga 70,25.0,31,3
Biz Markie,0.0,0,3
Bizarrap;Quevedo,99.0,99,1
Bjørg Stigbjørnson,59.0,59,1
Björn Afzelius,38.0,38,1
Björn Holmgren,0.0,0,3
Björn Rosenström,37.56,42,9
BJ The Chicago Kid,0.0,0,2
Bjarne Hendrik,56.0,57,2
Bjarni Erlingursson,59.0,60,2
Bjoern Torwellen,17.0,17,1
BK;El Lif Beatz,47.0,56,15
BLÜ EYES,65.0,65,2
Blå Tåget,35.0,35,1
Black,69.0,69,1
Black Alien,45.75,48,4
Black Atlass,59.5,65,2
Black Box Revelation,27.5,30,2
Black Coffee,36.09,59,11
Black Eyed Peas,1.0,4,11
Black Eyed Vermillion;The Inheritance,26.33,30,3
Black Kids,25.0,32,3
Black Label Society,44.88,66,8
Black Lips,25.67,27,3
Black Loops,0.0,0,1
Black Messiah,19.5,20,2
Black Mountain,43.0,43,1
Black Pantera,27.8,32,5
Black Pistol Fire,53.0,53,1
Black Pumas,67.0,67,1
Black Raven,25.33,30,3
Black Rebel Motorcycle Club,53.0,59,5
Black Rob,0.0,0,5
Black Roots,25.0,26,2
Black Ryno,20.0,22,2
Black Sabbath,31.94,58,17
Black Stone Cherry,33.33,44,3
Black Sun Empire;State of Mind,18.29,23,7
Black Tambourine,19.0,20,3
Black Tiger Sex Machine;Hairitage;Hyro The Hero,49.4,51,10
Black Uhuru,29.89,41,9
Black Veil Brides,71.0,71,2
blackbear,71.54,81,13
Blackburri,32.14,46,14
BlackGummy;Louis Vivet,15.0,15,1
Blackhaine,16.4,18,5
Blacklistt,28.0,28,1
Blackmen;Lion Fiah;Alto contraste,29.0,29,1
Blackmill,49.67,52,3
BLACKPINK,71.23,87,48
BlackRoy,42.0,44,2
Blackstreet,46.3,77,10
bladecut,36.5,42,2
Bladerunner,18.29,21,7
Blaine,38.0,38,1
Blak Ryno,27.0,27,1
Blake,27.0,27,1
Blake Babies,21.0,21,2
Blake Baxter,10.25,18,8
Blake Rules;Netherfriends,11.0,23,57
Blake Shelton,3.25,66,24
Blame,18.0,18,2
Blame it on Ed,31.0,31,1
Blame Jones,48.5,51,2
Blamstrain,8.0,8,1
Blancmange,23.0,23,2
Blanco Palamera,39.0,48,2
Blanco White,60.17,66,6
Blank & Jones,35.67,55,9
Blanke;REAPER,42.2,48,15
Blaqk Audio,22.5,25,6
Blas Cantó,59.0,59,1
Blastoyz,38.9,53,10
Blazy,50.67,56,3
Ble0,36.0,36,1
Bleach,30.0,30,1
Bleachers,66.0,66,1
Bleed From Within,49.42,53,12
Bleeding Knees Club,26.5,28,2
Bleeding Through,22.33,23,3
Bleeker,59.0,59,2
blessthefall,20.33,61,3
Bleu Edmondson,43.0,43,1
Bleu Toucan,60.0,60,1
Blind Channel,47.75,59,4
Blind Faith,6.22,54,18
Blind Melon,12.48,76,31
Blind Pigs,32.0,33,2
Blind Witness,21.33,22,3
Blinded Hearts;Felix Samuel,57.0,57,1
blink-182,25.27,83,77
Blinkie;Celina Sharma,41.0,41,1
Blippi,54.42,62,12
Bliss,37.0,37,1
Blitz,42.5,44,2
BLOND:ISH,43.3,63,10
Blonde Redhead,60.0,60,2
Blondie,37.78,73,37
Blood Duster,12.0,13,4
Blood For Blood,30.0,30,1
Blood Incantation,23.67,25,3
Blood Orange,66.0,66,1
Blood Youth,24.0,24,1
Bloodbath,48.0,48,2
Bloodbound,32.0,52,5
Bloodhound Gang,0.0,0,1
Bloodred Hourglass,22.25,24,4
bloodsimple,13.5,54,4
Bloodywood,49.0,52,3
BLOOM,51.0,51,1
BLOSSOM DEARIE,0.0,0,1
BLOT!,24.33,27,3
Blue Boatz,43.0,43,2
BLUE ENCOUNT,65.0,65,5
Blue Feather,33.0,33,1
Blue Foundation,67.0,67,1
Blue Highway,25.12,30,8
Blue Magic,34.0,34,1
Blue Moon Rising,21.0,22,5
Blue Motyl,30.0,32,2
Blue October,32.0,48,4
Blue Stahli,51.25,55,4
Blue States,47.67,49,3
Blue Swede;Björn Skifs,67.5,73,2
Blue Öyster Cult,69.14,76,7
Blueboy,17.0,17,1
Blueridge Mountain Bluegrass Band,22.0,22,1
Blues Delight,54.0,54,2
Blues Saraceno,55.0,55,1
BluntOne;Baen Mow,57.5,60,2
Blunts & Blondes,37.0,51,2
Blur,8.1,78,10
Blurstem,54.0,54,1
Bluszcz,37.0,37,1
Blutengel,22.67,24,6
Blvk Sheep,38.0,38,2
BLVKSHP,58.0,58,1
Bo Diddley,56.0,56,1
Bo Kaspers Orkester,37.29,42,17
Bo Sundström,36.0,36,2
BOØWY,32.94,41,88
Boards of Canada,50.84,59,19
Bob Dylan,68.65,73,17
Bob & Lucille,22.0,23,2
Bob Luman,27.33,29,3
Bob Marley & The Wailers,72.25,78,8
Bob Moses,57.2,60,5
Bob Mould,23.33,25,3
Bob Saget,22.0,22,1
Bob Seger,72.5,74,6
Bob Sinclar,46.58,73,12
Bob Stevens,32.0,32,1
"Bobby ""Blue"" Bland",59.0,59,1
Bobby Brown,0.0,0,1
Bobby Chen,39.67,46,3
"Bobby Cruz;Ricardo ""Richie"" Ray",34.5,38,4
Bobby Darin,58.68,68,19
Bobby Day,41.55,62,11
Bobby Driscoll;Kathryn Beaumont;Paul Collins;Tommy Luske;The Jud Conlon Chorus,21.0,24,2
Bobby Goldsboro,12.0,60,5
Bobby Hicks;Doyle Lawson;J.D. Crowe;Jerry Douglas;Todd Phillips;Tony Rice,20.5,21,2
Bobby Osborne;Alison Brown;Claire Lynch;Rob Ickes;Sierra Hull;Stuart Duncan;Trey Hensley,22.0,23,2
Bobby Rosario,29.0,29,1
Bobby Rydell,45.33,54,3
Bobby Steggert;Norbert Leo Butz;Big Fish Original Broadway Cast,25.5,27,4
Bobby Timmons,33.8,39,5
Bobby Valentin,28.0,29,4
Bobby Vee,44.75,55,4
Bobby Vinton,49.67,54,3
Bobby Xavier;Saritha Raffi,19.0,19,1
Bobbylene,25.0,25,1
Bobi,31.0,31,1
Bobo Shashi,56.0,56,1
Bobs & Lolo,52.0,52,1
Boc Scadet,8.0,8,1
Bochum Welt,14.6,36,5
Bodor Vencel,54.5,61,2
Body Void,19.0,19,1
Bodybox,30.0,30,1
Bodyjar,31.0,31,1
Bodylotion,19.5,21,2
Bodyrox,29.0,29,1
Bodysnatcher,28.0,48,9
Boehm,37.0,42,3
Bogdan Raczynski,15.05,47,20
Bohemia;Sidhu Moose Wala,68.0,68,2
Bohnes,67.0,67,2
Boi Foi Toch;Beatcrooks,39.0,39,1
Bokaloka,48.67,52,3
BOL4,71.0,74,2
Bola,11.86,15,7
Bola Johnson,44.0,44,1
Bolier;Arem Ozguc;Arman Aydin;NBLM,35.5,50,4
Bolt Thrower,35.0,46,2
Bom Gosto,47.86,57,7
Bomba Estéreo,61.0,61,1
Bombai;Bebe,57.0,57,1
Bombay Bandook,42.0,42,2
Bombay Bicycle Club,34.71,64,7
Bombay Jayashri,53.74,68,34
Bombay Sisters,32.33,33,3
Bombino,45.0,45,1
Bombo Rosa,17.25,21,4
Bombus,20.5,21,2
Bon Entendeur;Isabelle Pierre,61.0,64,2
Bon Iver,62.67,73,6
Bon Jovi,36.5,85,34
Bonde do Brasil,37.5,39,2
Bonde do Forró,43.72,48,18
Bonde do gato preto,42.0,48,9
Bonde R300,54.0,54,1
Bondi Cigars,32.0,32,1
Boney M.,49.56,72,27
Bonfire,52.0,52,2
Bonnie Raitt,65.0,65,1
Bonnie Tyler,60.2,77,5
Bonobo,48.35,60,75
Boogarins,27.0,27,1
Boogie T,25.0,26,6
Book Of Love,26.25,29,4
Booka Shade,36.33,56,27
Booker T. & the M.G.'s,0.0,0,5
Boom-Bastic,16.0,16,1
boom boom kid,38.78,40,9
Boom Buddies,32.0,32,1
Boombox Cartel;JID,54.33,59,3
Boomdabash;Alessandra Amoroso,0.0,0,10
Boon Hui Lu,28.0,28,1
Bootstraps,46.0,46,1
Boozoo Bajou,42.89,54,9
BOP,16.0,16,1
boppy af,27.0,27,1
Boreal Embla,64.0,64,2
Borgeous;MORTEN;RUNAGROUND,40.4,47,5
Borgore;Sikdope,44.75,51,8
Bori & Suan,22.0,22,1
Boris Brejcha,46.24,64,115
Boris Shtokolov,0.0,0,7
Boris Way,66.0,66,1
Borknagar,17.0,18,2
Born Of Osiris,46.2,49,5
Borys LBD;Denis Impulsywni,35.0,35,1
Boss Axis,0.0,0,1
Bosse,36.0,36,1
Bossy,38.0,38,1
Boston,72.75,79,4
Boston 168,36.25,37,4
Boston Soundlabs,11.83,23,6
Boston Symphony Orchestra;Seiji Ozawa,0.0,0,2
Bounce Patrol,45.0,48,2
Bount,37.0,37,1
Bounty Killer,20.43,23,14
Bowery Electric,44.0,44,1
Bowie Lam;陳豪;黃德斌,44.0,44,1
Bowling For Soup,71.0,71,2
Boy Boy,29.0,30,2
Boy George,58.0,59,2
boy in skirt;Niisan,56.75,65,8
Boy is Fiction,10.0,10,1
Boy Kiss Girl,26.0,26,1
Boy Robot,14.0,14,1
Boyce Avenue,54.09,67,45
Boys,31.17,32,6
Boys Like Girls,59.67,66,9
Boys n Root,34.0,34,1
Boyscott,58.33,62,3
Boysetsfire,30.5,32,2
Boyz II Men,15.89,71,9
Boz Scaggs,0.0,0,4
Boza,75.0,75,2
Bracket,54.0,54,1
Brad Jacobsen,23.0,23,1
Brad Kane;Disney,46.5,51,2
Brad Mehldau,42.0,42,2
Brad Paisley;Alison Krauss,63.5,64,2
Brad stank,53.0,54,3
Brad Williams,21.5,22,2
BRADIO,59.0,59,1
Brainbox,52.33,63,3
Brainkicker,30.0,30,1
brakence,56.75,59,12
BRAMANE,55.0,60,3
Brambles,52.25,55,4
Brandi Carlile;Lucius,12.17,66,35
Brando,43.07,65,14
Brandon,57.0,57,1
Brandon Chase,47.67,57,3
Brandon Uranowitz;Robert Fairchild;Max Von Essen,20.0,20,1
Brandy,0.0,0,4
Brasas do Forró,44.25,48,4
Brasil Guitar Duo,28.0,28,1
Bratz,31.0,31,1
Brave Girls,66.0,66,1
Bravesboy,34.0,36,2
Braxton;Jody Wisternoff;James Grant,42.67,53,3
Brayke,47.0,47,1
BRAZA,47.0,47,2
Brazilian Girls,18.8,20,5
Brazo Wa Afrika;Chymamusique,24.0,24,1
brb.,61.67,68,6
BRDigung,35.0,35,1
Bread,70.0,70,3
Break;Calyx;Teebee,18.5,19,2
Break The Box;Ira,10.0,10,1
Breakbot;Irfane,61.0,61,1
Breakestra,22.2,26,5
Breakfast For Brunch,35.69,52,13
Breaking Benjamin,53.65,74,46
Breaking Grass,23.0,26,3
Breathe Carolina;Robert Falcon;Conor Maynard,41.0,41,1
BRELAND;Lady A,0.43,2,14
Brenda Lee,4.72,71,80
Brendan James,51.0,51,1
Brennan Heart,34.21,62,24
Brennan Savage,59.17,68,6
Brennan Story,42.0,45,2
Brennen Grey;Pleasurekraft,30.0,30,1
Brenno Reis & Marco Viola,43.0,43,1
Brent Carver,25.5,26,2
Brent Morgan,57.8,65,10
Bret Ernst,22.67,24,3
Brett Dennen,51.0,57,2
Brett Eldredge,2.5,61,26
Brett Young,15.6,75,5
Bri-C,50.0,50,1
Brian Crain,24.09,52,23
Brian Culbertson,0.0,0,3
Brian D'Arcy James;Alix Korey;Raymond Jaramillo McLeod;Charles Dillon;Kevin Cahoon;Kena Tangi Dorsey;The Wild Party Ensemble,20.5,21,2
Brian Doerksen,40.75,51,4
Brian Eno,41.76,59,17
Brian Hyland,37.29,57,7
Brian Lyndon,60.0,60,1
Brian McKnight,0.0,0,1
Brian Posehn,27.0,27,1
Brian Regan,24.79,27,14
Brian Stokes Mitchell,25.2,28,5
Brian the Sun,55.0,55,2
Brigado Crew;Ubbah;Doctor Dru,43.5,47,2
Bright Visions,21.0,21,1
Brigitte,31.0,31,1
Brijesh Shrestha;Nikhita Thapa,44.0,44,1
Bring Me The Horizon,62.41,81,78
Brings,15.0,38,44
Brinsley Schwarz,31.0,31,1
Brisa Star,45.29,49,7
Brisk;Vagabond,16.0,16,1
Briston Maroney,0.0,0,4
British India,26.0,27,3
Britney Spears,75.5,79,2
Brittni Paiva,22.25,24,4
Broadside,60.0,60,1
Brock Ansiolitiko,30.67,34,15
Broder Daniel,24.83,32,6
Brodha V,63.0,63,1
Brodinski;Louisahhh,0.0,0,1
Broilers,35.1,43,21
Broken Back,63.0,63,2
Brondo;Tyro,37.0,37,1
Bronski Beat,51.5,73,2
Brooke Bentham,50.0,50,1
Brookes Brothers,18.25,19,4
Brooklyn Bounce;Vengaboys,35.0,35,1
Brooks;Alida,47.29,51,7
Brooks & Dunn,71.0,71,1
Brother Dege,51.0,54,2
Brothers In Crime,16.67,17,3
Brothers of Metal,56.22,62,9
Brothomstates,10.0,10,1
Brous One;Matiah Chinaski,42.0,42,2
Broussaï,32.0,32,1
Brown Noise Baby Sleep,32.0,32,1
Brownout;Brown Sabbath,18.8,22,5
BROX,34.0,38,7
Brray,0.33,1,18
Bruce Bruce,22.0,24,6
Bruce Channel,31.0,62,2
Bruce Dickinson,23.0,23,1
Bruce Faulconer,45.0,45,1
Bruce Hornsby;The Range,71.0,71,1
Bruce Molsky,23.0,23,1
Bruce Springsteen,75.33,78,6
Brujeria,21.6,25,10
Brummi Bryan;Ikke Hüftgold,34.0,34,1
Bruna Karla,43.5,49,8
Bruna Olly,40.0,40,1
Bruninho & Davi;João Bosco & Vinicius,51.0,51,1
Brunner & Brunner,30.5,31,4
Bruno & Barretto,47.88,55,8
Bruno Gadiol,43.0,43,1
Bruno & Marrone,46.42,54,45
Bruno Mars;Anderson .Paak;Silk Sonic,7.58,87,78
Bruno Martini;David Hodges,17.33,52,3
Brutal Truth,12.0,12,2
BRVMES,38.0,38,1
BrxkenBxy,47.4,55,5
Bryan Adams,11.72,82,159
Bryan Behr,43.0,43,1
Bryan & Katie Torwalt,28.87,56,15
Bryan Kearney,40.0,40,2
Bryan Sutton,21.0,22,2
Bryce Fox,59.17,66,6
Bryce Pinkham,24.25,28,4
Bryce Vine,0.0,0,6
Brylho,43.0,43,2
Bryn Terfel;Joseph Calleja;Czech Philharmonic Orchestra;Paul Bateman,19.0,19,1
Brytiago;Darell,0.25,1,16
[bsd.u],58.5,61,2
BT;Jody Wisternoff,6.67,20,3
BTS,68.62,85,164
Bubaseta,45.0,45,1
Buccaneer,28.0,28,1
Buckcherry,37.5,68,4
Buckethead,54.0,54,1
Bucovina,19.3,24,10
Buddy,13.0,34,7
Buddy Guy;Bonnie Raitt,47.67,57,3
Buddy Holly;The Crickets,39.93,65,14
Buddy Holly & The Crickets,54.0,54,1
Buena Onda Reggae Club,16.0,16,2
Buena Vista Social Club,14.8,22,5
Buerak,53.0,54,2
Buffalo Springfield,74.4,78,5
Buffalo Tom,20.33,21,3
Buggimaan,31.14,37,7
Buggin,30.0,30,1
Bugle,10.25,21,4
Bugs,29.0,29,1
Builder,25.0,25,1
Buju Banton;Carol Gonzales,28.0,29,2
Bull Brigade,30.0,30,2
Bulldog,39.17,41,6
Bulldozer Project,25.0,25,1
buller;Grayuboi;GLOBBY;El Chilli;Kladd,25.12,34,8
Bullet Bane,31.62,35,8
Bullet For My Valentine,45.45,68,60
Bullseye Release,39.33,43,3
Bulutsuzluk Özlemi,33.0,33,1
BUMP OF CHICKEN,63.2,74,5
Bunji Garlin,26.0,26,1
Bunkface,39.0,39,1
Bunny Hop Dance Party,9.0,9,1
Bunny Wailer,55.0,56,2
Burak Cilt;Tolga Mahmut,39.0,39,1
Burak Yeter;Danelle Sandoval,65.67,72,3
Buray,55.2,62,5
Burcu Güneş,43.0,43,3
Buren Van De Brandweer,29.5,31,2
burger/ink,23.8,27,5
Burgerkill,28.7,37,40
Burial,51.5,53,4
Burn The Priest,52.0,58,2
Burna Boy,13.43,83,205
Burning Skies,13.0,13,1
Burning Spear,9.0,27,3
BURNOUT SYNDROMES,55.36,66,22
Burnt By The Sun,13.0,15,4
Burro Banton,27.0,27,1
Bury Tomorrow,56.5,58,2
Bury Your Dead,25.0,26,5
Burzum,43.29,52,7
Bush,19.43,63,7
Bushman,27.0,27,1
Busta Rhymes,44.57,70,7
Busted,0.0,0,1
Busy Signal,30.26,60,35
Butch,33.33,42,3
Butcher Babies,23.0,23,1
Butthole Surfers,36.0,64,7
Buyepongo,18.0,19,2
Buzz Fuzz;Bass-D;King Matthew,16.0,16,1
BVRNOUT;5oh8,46.0,46,1
BY2,45.8,54,5
Byasadeb;Anita,31.0,31,1
Byejack;dy,30.0,48,5
Bynmc;BenderCat,34.33,35,3
Byting,43.0,43,1
C AllStar,46.83,53,6
Cäbränegrä,13.0,16,5
Cícero,42.0,42,1
C&K,38.0,38,1
C-Kan,53.0,53,1
Cólera,30.0,30,1
C.O.F.F.I.N,26.5,33,8
C.R.O,39.0,39,1
C-Ro;Don Bnnr;Lazy Panda,20.0,20,1
César Menotti & Fabiano,42.5,43,2
C. Sathya,60.0,60,1
Cö Shu Nie,54.0,63,8
Cássia Eller,42.78,47,18
Cátia Moreira,21.5,24,2
Cœur De Pirate,33.0,33,1
C.V. Jørgensen,38.0,38,3
C.W. Stoneking,47.0,47,1
cøzybøy,53.0,53,2
Caê,22.0,25,3
CA7RIEL,38.78,43,9
CABAL,22.0,22,2
Caballero,0.0,0,1
Caballero & JeanJass,34.0,34,2
Cabiria,26.0,26,1
CABLE,39.0,39,1
Cabrito Vudú,35.5,39,2
Cacho Tirao,22.0,24,3
Cachorro Grande,39.33,40,6
Cachureos,38.0,38,1
Cacife Clandestino;Medellin;Lolla Sales;Predella,45.0,45,1
cacique'97,16.0,16,1
Cacka Israelsson,34.0,34,1
Cadaveria,18.6,19,5
Cadena Perpetua,40.45,43,11
Cadmium;Jon Becker,58.5,64,2
cadode,50.0,50,1
Caelando,58.0,58,1
Caesars,64.5,66,2
Caetano Veloso,41.42,44,12
Café Quijano,50.33,65,3
Café Tacvba,46.0,46,1
Cafuné,15.0,83,11
Cage The Elephant,66.97,79,34
Caifanes,46.33,48,3
Caillou,31.3,33,10
Caio Passos;MC Ryan SP;Mc Davi;Mc Magal;MC PH;Mc Don Juan;Mc IG,49.0,49,1
Caissie Levy,40.0,53,2
Caius Biel,64.0,64,1
Caj Morgan,46.0,46,1
Cajmere,12.38,50,21
Caju Pra Baixo,39.62,57,26
Calango Aceso,36.0,36,1
Calcinha Preta,45.91,52,65
Caleb Santos;Viva Music Publishing Inc.,68.0,68,1
caleblrt;Hashir,46.0,46,2
Calero LDN;BOXINBOX,26.0,26,1
Cali Flow Latino,29.0,29,1
Cali Y El Dandee,0.29,1,45
Caliajah,27.0,28,3
Calibre,11.25,24,8
Calibretto 13,26.0,26,1
Calil,61.0,61,1
Calin,36.5,38,2
Calippo,0.0,0,2
Calle 13,31.07,75,27
CalledOut Music,41.67,45,3
Callejeros,47.0,47,2
Callejon,29.0,30,10
Callum J Wright,52.0,54,2
Calming Eyes,63.0,65,3
Calming Sounds;Thunderstorm Sound Bank;Rain Sounds & White Noise,36.0,36,1
Calmsound,41.0,41,1
Caloncho,0.0,0,7
Calvin Harris,70.97,89,86
CALVO,56.0,59,3
Calyx & TeeBee,17.2,20,5
CamaSutra,31.67,32,3
Camel,51.0,51,1
Camela,42.0,56,2
CamelPhat;Elderbrook,54.47,72,19
Cameo,40.25,65,4
Cameo Blush,41.0,41,1
Cameron's Bedtime Classics,18.93,21,44
Cameron Sinosa,63.5,68,2
Cami,0.83,5,6
Camiches,34.0,34,1
Camila Cabello;Ed Sheeran,79.83,87,6
Camila Holanda,45.0,45,1
Camille Saint-Saëns;Isata Kanneh-Mason;Jeneba Kanneh-Mason;Sheku Kanneh-Mason,17.11,70,19
Camilo,70.89,78,9
Camilo Séptimo;Samantha Barrón,44.0,44,1
Camisa de Vênus,42.12,47,8
Camo & Krooked,28.06,55,16
Camp Claude,60.0,60,1
Campedrinos,43.67,44,3
Campsite Dream,52.0,54,2
Camylio,65.33,67,6
CAN,53.0,53,1
Can Bonomo,39.22,43,9
Can Durmus,33.0,33,1
Canções Para Curar,39.0,39,1
Can Gox,41.0,45,4
Canção & Louvor,41.64,46,11
Cancer Bats,26.0,26,1
Canciones Infantiles;Musica Infantil;Rondas Infantiles,28.0,28,1
Candan Erçetin,39.4,43,5
Candi Staton,0.0,0,2
Candlebox,45.5,67,2
Candlemass,49.0,49,2
Candy Lo,45.5,56,4
Cane Hill,54.0,54,1
Cani González;Carlos Marír,24.0,24,1
Caninana;João Gomes,40.67,46,3
Canindé,38.5,39,4
Caninus,13.0,14,2
Canking;Ess2Mad,69.0,69,1
Canned Heat,11.3,62,10
Cannibal Corpse,38.0,59,10
Cannon's Jug Stompers,28.0,28,1
Cano Estremera,29.0,29,1
Canseco,36.0,36,1
Canticuénticos,41.14,44,7
Canticuentos,40.0,41,2
Canyon City,51.45,60,11
Caparezza,0.0,0,2
Capcom Sound Team,55.0,55,1
Capital Cities,83.0,83,1
Capital Do Sol,40.0,40,1
Capital Inicial,43.54,49,24
Capital Monkey;Klopfgeister,39.0,39,1
Capitalist Casualties,15.33,20,9
Capitan Folk,30.0,30,1
Capleton,17.2,28,5
CAPSULE,20.0,20,1
Captain Hollywood Project,61.0,61,1
Captain Hook;Astrix,49.0,49,1
Captain Jack,28.67,31,3
Captain & Tennille,16.2,68,5
Captaine Révolte,35.0,35,1
Captaine Roshi,27.0,34,5
"Car, the garden",58.5,59,4
Carach Angren,17.67,19,3
Carajo,28.58,43,79
Caravan Palace,55.67,57,3
Carbin;hayve;Emily Makis,35.0,35,2
Carbon;Lampe,42.0,42,1
Carbon Based Lifeforms,41.8,45,5
Carbonas,32.0,32,2
Carbozo;Sasso,34.0,34,1
Carcass,17.62,46,37
Cardi B,7.17,79,12
Cari Lekebusch,17.0,17,1
Caribou Mountain Collective,31.0,31,1
Carin Filipcic,21.0,21,1
Carina Crone,24.5,26,2
Carl Barron,22.6,24,5
Carl Butler,42.0,42,1
Carl Craig,12.28,42,36
Carl Douglas,21.33,26,3
Carl Marshall,36.0,36,1
Carl Millöcker;Rudolf Schock;Werner Eisbrenner,20.0,20,1
Carl & Pearl Butler,10.6,12,5
Carl Perkins,58.0,58,2
Carl Smith,17.25,41,16
Carla Simmons,51.0,51,1
Carligo,64.0,64,1
Carlinhos Brown,37.0,37,1
Carlitos Junior;Yiordano Ignacio;BlackRoy,41.0,43,9
Carlo Boscoli,60.0,60,1
Carlo Boszhard,27.0,27,1
Carlo Pallavicino;Lea Desandre;Jupiter;Thomas Dunford,21.0,21,1
Carlo Supo,29.0,29,1
Carlos Baute,53.8,77,5
Carlos Cipa,31.4,58,5
Carlos Di Fulvio,26.0,37,6
Carlos Di Sarli,15.0,20,6
Carlos Di Sarli y su Orquesta Típica,16.5,17,2
Carlos Gardel,21.35,46,94
Carlos Lico,37.0,41,6
Carlos Lombardi;Los Românticos De La Noche,18.35,22,17
Carlos Lyra,40.0,40,1
Carlos Marin,19.0,19,1
Carlos Moscardini,20.5,21,2
Carlos Paredes,25.0,25,1
Carlos Roldán,18.0,18,1
Carlos Sadness,37.5,64,6
Carluccio,62.0,62,1
Carly Lyman;Jason Lux,48.0,49,2
Carly Pearce,1.5,2,2
Carly Rae Jepsen,15.2,80,10
Carmela Y Rafael,27.0,27,1
Carmen Campagne,29.33,30,3
Carmen Cusack;Bright Star Original Broadway Ensemble,25.5,29,4
Carmen Twillie;Lebo M.,50.0,67,3
Carnage;Lil Yachty,55.0,60,3
Carnifex,24.6,50,5
Carnivore,22.0,22,1
Ícaro e Gilmar,47.56,53,36
Carola,0.0,0,10
Carolee Carmello,25.0,29,6
carolesdaughter,72.0,72,1
Carolina Chocolate Drops,26.0,29,4
Carolina & Her Rhythm Rockets,24.0,24,1
Carolina Winograd,22.0,24,2
Caroline Dare,44.0,44,2
Caroline Rhea,22.0,25,3
Caroline's Spine,25.0,25,1
Carpathian Forest,15.8,16,5
Carrie Hope Fletcher,24.25,27,4
Carrie Nation and the Speakeasy,23.2,26,5
Carrie Underwood,9.53,78,15
Carryminati;Vibgyor,47.0,47,1
Carsten Svendsen,25.0,25,1
Carta,54.33,56,3
Carta de Baralho,49.0,49,1
Cartel Mcs;Sain,44.0,44,1
Carter Powers,39.0,39,2
Cartoon;Asena,65.0,73,3
Caru,59.0,59,2
Carufo,58.0,58,1
Cary Brothers,51.0,51,1
Casa De Leones,44.33,45,3
Casa Worship;Julliany Souza,45.07,51,14
Casanovas schwule Seite,35.0,35,1
Cascada,59.07,71,15
Cascada de Lluvia,25.0,27,3
Casey Donahew,46.0,46,1
Cash Cash;Christina Perri,33.5,67,6
Cash Flow,42.75,44,4
Cash Savage and the Last Drinks,28.67,30,3
CASHEW,33.5,37,2
Casino Versus Japan,15.2,39,30
Caskets,60.43,66,7
Caspar Babypants,29.5,31,4
Caspar Camitz;Katmanlo,36.0,36,1
Casper,37.0,37,1
Casper & Col'ta,10.0,10,1
Casper Esmann,38.0,42,5
Casper Loe,42.0,42,1
Cass Phang,35.0,48,4
Cassandra Nestico,58.67,61,3
Cassettes,37.0,37,1
Casseurs Flowters,39.0,39,1
Cassian,46.0,46,1
Cassiane,41.6,51,25
Cassiane e Jairinho,42.0,42,1
CASSIMM;Kid Enigma,2.0,2,1
Cast - Cenerentola,20.0,20,1
Cast - Frozen,43.5,61,4
Cast of Sleeping Beauty,23.5,24,2
Cast - Sofia the First;Sofia,38.67,55,9
Cast - Vampirina,51.0,57,2
Castello Branco,42.0,42,2
Caster,33.0,36,4
Casting Crowns,66.0,67,4
CASTLEBEAT,53.09,58,11
Casuarina,42.93,48,15
Cat Dealers;Lukas Vane;Elise LeGrow,1.0,1,1
Catch 22,31.0,31,1
Catch Side,34.0,34,1
