artists,artist_popularity_api,artist_peak_popularity,artist_track_count
Abby Cates,58.0,58,2
ABC,22.6,64,5
ABC Kids,29.0,31,3
Abdon Mech;Zuchobeni Tungoe,36.0,36,2
Abdul Hannan,57.25,66,8
Abdullah Siddiqui;Atif Aslam,50.67,55,3
Abel Korzeniowski,49.22,58,9
Abel Pintos,44.5,45,2
Abelation;Saka,40.0,40,1
Aberdeen,19.0,19,1
Aberola,26.0,26,1
Abfahrt Hinwil,11.0,13,3
Abhijeet,60.0,64,6
Abhilasha Sinha,43.5,46,6
Abin Fang,59.0,60,2
Aborted,15.0,17,8
Above & Beyond,35.35,56,55
Abraham Mateo;50 Cent;Austin Mahone,60.29,74,7
Abram;Rosario Ortega,26.0,26,1
Absofacto,68.0,68,1
Absolute Valentine,41.12,56,8
Abstract Void,17.0,17,1
Absu,17.0,17,1
Abyss & Judge,20.0,20,1
AC/DC,69.59,85,32
AC Slater;Chris Lorenzo;Wax Motif,54.4,55,5
Acústicos & Valvulados,40.17,46,6
Academy of St. Martin in the Fields;Sir Neville Marriner,0.0,0,2
Accept,36.17,61,30
Access to Arasaka,8.0,8,1
Ace Aura;Virus Syndicate,40.33,43,3
ACE COLLECTION,42.0,50,3
Ace Ventura;Animato,28.5,48,8
Acerina Y Su Danzonera,37.5,41,4
AcesToAces,62.0,62,1
Aché Cubano,30.0,30,1
Achillea,44.5,45,2
Achint,42.8,54,5
Achu,58.0,59,2
Acid Arab;A-WA,39.5,41,2
Acid Ghost,50.38,57,8
Acid Horse,22.0,22,1
Acid Pauli,40.0,48,6
Acil Servis,38.0,38,2
ACN Music.,50.0,57,3
Acnatro;Amorf,31.0,31,1
Acoustic Guitar Collective,41.0,45,3
Acoustic Syndicate,20.0,20,1
AcousticTrench,37.2,42,5
Acranius,21.0,21,1
Acti;Zot,20.0,20,1
Activator,28.5,37,2
Actress,52.8,57,5
ACxDC,11.25,12,4
Ad Dios,23.17,27,6
Ada,18.0,18,1
Ada Falcón,17.0,19,5
Ada Zhuang,23.0,23,1
Adalberto Álvarez y su Son,29.0,29,1
Adalberto Santiago,28.33,31,3
Adam Beyer;Bart Skils,43.6,53,10
Adam Calhoun,43.5,44,2
Adam Cheng,50.0,50,2
Adam Christopher,48.57,55,7
Adam F,18.67,21,3
Adam Ferrara,22.75,25,4
Adam Freeland,24.0,39,3
Adam French,53.0,53,2
Adam Guettel,21.0,21,1
Adam Jensen,58.2,68,15
Adam Johnson,10.0,12,2
Adam Melchor,25.71,60,7
Adam Mitchell;Stanley Tucci;Ewan McGregor;Gugu Mbatha-Raw;Ian McKellen;Emma Thompson;Emma Watson;Audra McDonald;Clive Rowe,55.0,55,1
Adam Oh,53.33,57,3
Adam Pascal;Ted Neeley;Alisa Burket;Kristina Klebe;Francesca Vannucci,21.0,21,1
Adam Sandler;8 Crazy Nights Cast;Blake Clark;Kevin Farley;Tom Kenny;Lari Friedman;Jared Sandler;Jillian Sandler;Dylan Sprouse;Carl Weathers;Tyra Banks;Cole Sprouse;Ann Wilson;Richard Page,22.0,22,1
Adam Steffey,22.5,23,2
Adam Ten;Mita Gami,39.0,39,1
Adam Turley,50.0,53,3
Adamlar,38.0,38,2
Adan La Amenaza;Nickoog Clk,50.0,50,2
Adana Twins,36.0,42,3
Adaro,15.43,49,7
Adarsh Rao,47.67,51,3
Adason Lo,21.0,21,1
Adassa,0.0,0,2
Addict.;Federico Martelli;Byjoelmichael,47.0,53,11
Addy,50.0,50,1
Adele,67.57,85,75
Adeline Verver,66.0,66,1
Adelitas Way,59.0,64,5
Adem & Murat;Megan Kashat,53.0,53,1
Adema,29.0,29,2
Aden x Asme,30.8,34,5
Adhemar De Campos;Nívea Soares,44.75,48,8
Adhvik;Puja Purad,57.0,57,1
Aditya A,50.62,81,8
Aditya Rikhari,66.33,68,3
Aditya Yadav,64.0,64,1
ADK Srirascol;Rolex Rasathy,37.5,41,2
ADL;BK;MV Bill;Funkero,45.25,48,8
Adlomusic,35.0,36,3
admo,57.0,57,1
Adnan Sami,60.67,62,3
Ado,58.22,77,18
Adolescent's Orquesta,34.95,77,19
Adolescents,31.0,31,1
Adolphe Adam;Rolando Villazón;Slovak National Symphony Orchestra;Allan Wilson;Apollo Voices;Graham Foote,3.58,43,12
Adolphson & Falk,38.0,38,1
Adon;Emilia Sonate,48.0,48,1
Adoniran Barbosa,39.2,41,5
Adonis,7.0,7,1
Adoo,27.0,34,3
Ados,40.0,40,1
Adrenalize,44.0,58,3
Adrian Barba,35.14,37,7
Adriana Arydes,45.0,45,1
Adriana Calcanhotto,40.0,41,3
Adriana Partimpim,42.5,45,2
Adriana Varela,19.57,31,35
Adriatique;Marino Canal,45.7,50,10
Adryana E A Rapaziada,47.5,52,2
Advait;AMAN,42.0,42,1
Advaita,34.0,34,2
Adventure Club;NURKO;Dayseeker,49.5,51,4
Adventurer,42.0,42,1
Adzmilli,59.0,59,1
Aeoliah,23.0,24,3
Aerosmith,70.19,82,16
Aesma Daeva,24.0,24,2
aespa,73.14,78,7
Aesthetic Perfection,23.33,24,3
Aestivum,56.0,62,2
Aether,53.0,53,1
Aevum,19.5,20,2
Aexcit,51.5,62,4
$affie,41.0,43,2
Afgan,37.67,47,3
Afgrund,11.0,11,1
AFI,6.68,72,34
AFK;Anna Yvette,36.0,36,1
AFKAP,60.0,60,1
Africania,21.0,26,2
Afro B,55.75,64,4
Afro Nursery Rhymes,8.0,8,1
Afrocidade,22.09,29,11
Afrojack;Black V Neck;Muni Long,21.36,69,47
Afroman,53.0,74,6
After Forever,22.0,22,2
After The Burial,55.0,57,3
Aftercoma;Ipang Lazuardi,28.0,28,1
AfterU,45.0,45,1
AGA,45.2,51,5
Against Me!,11.0,33,3
Against The Current,11.6,56,5
Agalloch,10.5,12,4
Agam,42.67,44,3
Agathocles,14.6,19,5
Age Of Love;Charlotte de Witte;Enrico Sangiuliano,61.0,64,2
Agents Of Time,36.0,53,5
Agepê,32.5,42,6
Ageu Soares,25.0,25,1
AGLORY,37.0,37,1
Agnee,43.0,43,2
Agnes Chiang,21.0,21,1
Agnes Nunes;Neo Beats,44.8,49,5
Agnostic Mountain Gospel Choir,20.0,20,1
Agnus Dei,49.0,49,1
Agora,27.0,27,1
Agoraphobic Nosebleed,13.89,19,9
Agoria,29.5,55,20
Agrypnie,18.0,18,1
Agua Mantra,23.67,25,3
Aguanile,28.0,28,2
Agustín Amigó,38.0,46,6
Agustín Barrios Mangoré;Emil Kjellbom,26.33,34,3
Agustín Irusta,24.5,31,2
Ahee;Sømething,45.0,45,2
Ahiyan,41.6,46,10
Ahmed Helmy;Gid Sedgwick,0.0,0,1
Ahmet Aslan,39.0,39,1
Ahmet Kilic;Stoto,46.5,50,2
Ahmoudou Madassane,38.5,42,2
Ahoora,0.0,0,3
AHOSHI,45.0,45,1
AHYRE;Abel Pintos,47.0,47,1
AI,38.0,38,1
Ai Milly,28.5,31,4
Aidan;Shiloh,49.0,49,1
Aidan Bissett,71.0,72,4
Aidan Hawken,48.0,48,1
Aidonia,15.0,27,2
AILEE,62.0,66,2
Aim,34.25,50,4
Aim To Head,37.0,37,1
Aimer,58.8,77,41
Aimyon,54.0,65,5
Ainbusk,38.0,38,1
Aine Minogue,22.67,24,6
Air,54.54,63,28
Airbase,52.0,52,1
Airbourne,65.5,69,4
AIRMANN,41.0,41,1
AIROD;Amelie Lens,47.0,49,2
Airship Express,57.0,57,1
Ais Ezhel;Dj Suppa,46.0,48,3
Aitana,30.3,78,37
Aizat Amdan,56.0,56,1
AJ Ghent [ j-ent ],23.0,25,2
AJ Mitchell;Ava Max,64.33,69,3
Ajattara,20.67,22,3
Ajay-Atul;Shreya Ghoshal,61.0,65,13
Ajay Gogavale;Shreya Ghoshal,58.0,58,1
Ajay Singha;Nirmalya Humtoo Dey,43.0,43,1
Ajda Pekkan,40.14,45,7
Ajebutter22,48.5,58,2
Ajey Nagar (CarryMinati);Wily Frenzy,58.5,61,2
AJJ,31.75,58,8
Ajja,32.67,35,3
Ajoy Chakrabarty;Parveen Sultana,36.0,36,1
AJR,52.75,80,4
Ak,22.0,22,1
AK-69,37.0,38,3
AKA AKA;Junge Junge,25.88,52,8
Akalé Wubé,46.5,49,2
Akanksha Bhandari,48.82,59,11
Akanksha Sethi,42.57,54,7
Akari Kito,54.0,54,1
Akatu,40.82,55,38
AKB48,22.26,50,46
Akcent,35.69,51,26
Akhil,67.62,74,8
Akhil Sachdeva;Mansheel Gujral,69.25,75,4
Akin Jensen,30.0,40,3
Akina Nakamori,23.74,41,27
Akira Kosemura,35.45,58,11
Akitsa,20.33,23,3
AKKI (DE),42.0,56,2
Akon,42.75,81,12
Akora;Mike Stil;Yam Nor;Toly Braun,47.0,47,1
Aksan;Mavi,40.0,40,1
Akull,59.5,62,2
Akuma,39.0,39,1
AL-90,45.0,47,2
Al B. Sure!,32.5,33,2
Al Di Meola,34.5,49,2
Al Green,21.8,31,5
Al Hirt,24.0,24,1
Além do Véu,39.0,40,2
Al Madrigal,22.33,27,3
Al Storm;Euphony,18.0,18,1
al'Tyr,34.0,34,1
Ala Jaza,28.0,28,2
Alabama Shakes,52.0,56,2
Alain Chamfort,28.67,32,3
Alan Bibey;Grasstowne,20.0,20,1
Alan Cumming;Reefer Madness Original Ensemble,20.0,20,1
Alan Fitzpatrick,25.56,52,9
Alan Jackson,48.75,72,4
Alan Menken,28.04,62,113
Alan Tam,24.81,50,16
Alan Walker,64.32,80,84
Alanis Morissette,1.0,1,4
Alanna Ubach;Antonio Sol,38.5,56,2
Alaska Y Dinarama,54.75,67,4
Albatraoz,40.0,42,3
Albatross,42.5,43,2
Albers Kuhnhart,18.0,18,1
Albert Au,20.0,20,1
Albert Collins,54.0,54,2
Albert King,19.33,58,6
Alberto Barros,27.6,31,5
Alberto Castillo,20.14,29,7
Alberto Echagüe;Juan D'Arienzo,16.0,16,1
Alberto Gambino,59.0,59,1
Alberto Gomez,16.0,17,2
Alberto Marino,24.0,24,1
Alberto Morán;Francisco Canaro;Orquesta Osvaldo Pugliese,17.67,22,3
Alberto Podestá;Rodolfo Lezica;Agustin Magaldi;Alberto Morán;Jorge Durán;Carlos Almada;Enrique Campos;Jorge Vidal;Mariano Leyes;Oscar Larroca;Armando Moreno;Alberto Marino,20.8,25,5
Alberto Stylee,39.33,40,3
Alberto Urso,23.6,27,5
Alberto Vazquez,33.63,44,30
Albin Johnsén,35.5,37,2
Albin Lee Meldau,38.0,38,1
Albin Myers;ODZ,32.0,32,1
Albin Svensson,57.0,65,2
"Albita;Rafael ""Pollo"" Brito",31.0,31,1
Alcest,40.0,49,14
Alceu Valença,42.11,49,18
Alcione,37.43,39,7
Alda Célia,40.0,41,3
Aldair Playboy,54.0,54,2
Alec Benjamin,33.83,85,41
Alec Troniq,19.0,19,1
aleemrk;Umair,74.0,74,1
Alef,49.0,49,1
Alegre All Stars,27.0,27,1
Alejandro Escovedo,23.67,24,3
Alejandro Fernández,0.0,0,10
Alejandro González;Pipe Bueno,44.0,44,2
Alejandro Sanz,16.69,76,35
Alejo;Feid;ROBI,4.27,82,44
Aleks Syntek,0.0,0,3
Aleksey Glyzin,41.0,41,1
Aleksy Wysocki,33.0,33,1
Alelock;Gaglia,32.0,32,1
Alemão Do Forró,38.3,42,10
Alesana,25.0,25,1
Alessandra Salles;Eros Biondini,51.0,51,1
Alessandro Safina,23.67,30,6
Alessandro Scarlatti;Arsenale Sonoro;Ludovico Minasi;Cristina Vidoni;Alexandra Koreneva,22.67,24,3
Alessia Cara,12.78,78,40
Alesso;Katy Perry,23.71,85,69
Alestorm,29.0,29,1
ALEX,35.18,49,11
Alex Adair,56.5,57,4
Alex Anwandter,37.8,42,5
Alex Baker,52.0,53,2
Alex Brightman;Beetlejuice Original Broadway Cast Recording Ensemble,62.5,66,2
Alex Campos,41.0,42,3
Alex Ceesay,36.0,37,2
Alex Chilton,31.0,31,1
Alex Cortiz,13.8,18,5
Alex Cruz;Brascon;Rubenson,64.0,64,1
Alex D'Castro,29.33,32,3
Alex & Daniel,35.0,35,1
Alex e Alex,39.0,39,1
Alex Gaudino;Crystal Waters,60.25,75,4
Alex Heffes;Anoushka Shankar,21.5,22,2
Alex Hepburn,45.0,59,2
Alex Hobson;Betty Bloom,53.0,56,4
Alex Keeper,56.75,61,4
Alex M.O.R.P.H.,45.0,45,4
Alex Preston,2.0,2,2
Alex Schulz,34.33,52,3
Alex Sensation;Ozuna,0.2,1,15
Alex Sevenrings,44.0,44,1
Alex & Sierra,77.0,77,1
Alex Spite,41.0,41,1
Alex Stein,37.0,37,1
Alex To,46.0,46,2
Alex Ubago,29.42,37,12
Alex1,63.0,63,1
AleXa;American Song Contest,63.0,63,1
Alexander Abreu,29.0,30,2
Alexander Alar,29.4,34,5
Alexander Hristov,45.0,45,1
Alexander Klaws,24.5,28,2
Alexander Luchs,57.0,57,1
Alexander Merlin;Selina Baron,54.0,54,1
Alexander O'Neal,32.0,32,2
Alexander Popov;Whiteout,35.0,53,9
Alexander Vertinsky,6.0,28,21
Alexandra Shipp;Vanessa Hudgens,56.0,56,1
Alexandra Wilcke,22.0,22,1
ALEXANDRE APOSAN,25.0,30,4
Alexandre Desplat,25.45,61,20
Alexandre Pires,44.5,46,2
[Alexandros],21.0,57,13
Alexi Murdoch,51.0,59,5
Alexia Mathieu,51.0,51,1
Alexis Ffrench,42.39,60,23
Alexis Troy,56.0,56,1
Alexis y Fido;Justin Quiles,0.5,1,8
Alexisonfire,32.0,32,2
Alextbh,53.0,53,1
Alf Robertson,38.0,38,1
Alfaaz,60.0,60,1
Alfie Boe,22.67,27,3
Alfonso Pahino,26.0,26,1
Alfred Carcieri,22.0,22,1
Alfred Heinrichs;Haexxa,27.14,29,7
Alfred Hui,35.5,50,2
Alfred Janders,54.0,59,3
Alfredo Catalani;Cristina Gallardo-Domas;Maurizio Barbacini;Das Münchner Rundfunkorchester;Munich Radio Orchestra,25.0,27,2
Alfredo De Angelis;Oscar Larroca,20.86,29,50
Alfredo Gobbi,21.5,25,2
Alfredo Kraus;Symphony Orchestra of Madrid;Kurt Sanderling,3.67,23,12
ALI;AKLO,63.5,69,2
Ali Azmat,63.0,63,1
Ali Bakgor,47.5,55,4
Ali Farka Touré;Toumani Diabaté,11.25,19,12
Ali Gatie,80.0,80,2
Ali Katı,41.0,41,1
Ali Meydanioğlu,39.0,39,1
Ali Ostovar;Bassem Hawar;Julia Ohrmann;Erfan Pejhanfar;Kioomars Musayyebi,0.5,1,2
Ali Phi,3.5,7,2
Ali Siddiq,22.0,22,2
Ali Zafar,66.5,73,4
Alicai Harley;Moelogo;Nadia Rose,43.0,43,1
Alice B,27.0,27,1
Alice Babs;Titti,37.83,41,6
Alice Cooper,31.0,74,7
Alice In Chains,63.5,75,32
Alice Ripley;Dick Cavett;The Rocky Horror Show Band (2000);The Rocky Horror Show Ensemble (2000),29.0,29,1
Alice Russell,38.83,50,6
Alicia Keys,76.75,80,4
Alida Sørby,55.0,55,1
Alien Ant Farm,76.0,76,2
Alien Sex Fiend,23.0,23,2
Alien8ed,41.0,41,1
Alif;Noor Mohammad,36.0,36,1
Alif Tree,18.0,18,1
Alignment,6.0,6,1
Aline Barros,43.93,53,45
Alinka,11.71,27,7
Alireza Mashayekhi,0.05,1,66
Alison Brown,21.0,22,2
Alison Krauss,45.4,54,5
Alison Krauss & Union Station,25.29,64,35
