Model,Metric,Audio_Only,Full_Model,Gain,PR_Audio_Only,PR_Full_Model,PR_Gain
Logistic Regression (LR),ROC-AUC,0.737,0.914,0.177,0.065,0.275,0.21
XGBoost,ROC-AUC,0.773,0.966,0.193,0.084,0.441,0.356
